"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Contractes","Nombre"
2018,"1",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Contractes de lloguer",100
2018,"1",10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Contractes de lloguer",58
2018,"1",10,"Sant Martí",68,"el Poblenou","Contractes de lloguer",272
2018,"1",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Contractes de lloguer",91
2018,"1",10,"Sant Martí",70,"el Besòs i el Maresme","Contractes de lloguer",112
2018,"1",10,"Sant Martí",71,"Provençals del Poblenou","Contractes de lloguer",132
2018,"1",10,"Sant Martí",72,"Sant Martí de Provençals","Contractes de lloguer",130
2018,"1",10,"Sant Martí",73,"la Verneda i la Pau","Contractes de lloguer",83
2018,"1",99,"No consta",99,"No consta","Contractes de lloguer",329
2018,"2",1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",480
2018,"2",1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",259
2018,"2",1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",114
2018,"2",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",345
2018,"2",2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",293
2018,"2",2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",505
2018,"2",2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",546
2018,"2",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",520
2018,"2",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",609
2018,"2",2,"Eixample",10,"Sant Antoni","Contractes de lloguer",377
2018,"2",3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",380
2018,"2",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",2
2018,"2",3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",119
2018,"2",3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",95
2018,"2",3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",186
2018,"2",3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",103
2018,"2",3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",195
2018,"2",3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",396
2018,"2",4,"Les Corts",19,"les Corts","Contractes de lloguer",347
2018,"2",4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",159
2018,"2",4,"Les Corts",21,"Pedralbes","Contractes de lloguer",32
2018,"2",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",28
2018,"2",5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",204
2018,"2",5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer",109
2018,"2",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer",234
2018,"2",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer",475
2018,"2",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Contractes de lloguer",315
2018,"2",6,"Gràcia",28,"Vallcarca i els Penitents","Contractes de lloguer",132
2018,"2",6,"Gràcia",29,"el Coll","Contractes de lloguer",57
2018,"2",6,"Gràcia",30,"la Salut","Contractes de lloguer",111
2018,"2",6,"Gràcia",31,"la Vila de Gràcia","Contractes de lloguer",664
2018,"2",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Contractes de lloguer",373
2018,"2",7,"Horta-Guinardó",33,"el Baix Guinardó","Contractes de lloguer",224
2018,"2",7,"Horta-Guinardó",34,"Can Baró","Contractes de lloguer",81
2018,"2",7,"Horta-Guinardó",35,"el Guinardó","Contractes de lloguer",272
2018,"2",7,"Horta-Guinardó",36,"la Font d'en Fargues","Contractes de lloguer",32
2018,"2",7,"Horta-Guinardó",37,"el Carmel","Contractes de lloguer",204
2018,"2",7,"Horta-Guinardó",38,"la Teixonera","Contractes de lloguer",74
2018,"2",7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Contractes de lloguer",60
2018,"2",7,"Horta-Guinardó",40,"Montbau","Contractes de lloguer",34
2018,"2",7,"Horta-Guinardó",41,"la Vall d'Hebron","Contractes de lloguer",18
2018,"2",7,"Horta-Guinardó",42,"la Clota","Contractes de lloguer",2
2018,"2",7,"Horta-Guinardó",43,"Horta","Contractes de lloguer",180
2018,"2",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Contractes de lloguer",174
2018,"2",8,"Nou Barris",45,"Porta","Contractes de lloguer",197
2018,"2",8,"Nou Barris",46,"el Turó de la Peira","Contractes de lloguer",107
